locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFPBCAKN_00046	CDS	792	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
GFPBCAKN_00047	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
GFPBCAKN_00048	CDS	960	ssuA			Putative aliphatic sulfonates-binding protein
GFPBCAKN_00049	CDS	552	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
GFPBCAKN_00050	CDS	1011	pyrD_1	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
GFPBCAKN_00051	CDS	546	zapC			Cell division protein ZapC
GFPBCAKN_00052	CDS	1110	ycbX		COG0633	putative protein YcbX
GFPBCAKN_00053	CDS	2154	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
GFPBCAKN_00054	CDS	1914	uup		COG0488	ABC transporter ATP-binding protein uup
GFPBCAKN_00055	CDS	1275	pqiA		COG2995	Intermembrane transport protein PqiA
GFPBCAKN_00056	CDS	1641	pqiB		COG3008	Intermembrane transport protein PqiB
GFPBCAKN_00057	CDS	561	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
GFPBCAKN_00058	CDS	519	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
GFPBCAKN_00059	CDS	1836	lon_1	3.4.21.53		Lon protease
GFPBCAKN_00060	CDS	453	matP		COG3120	Macrodomain Ter protein
GFPBCAKN_00061	CDS	1068	ompA_1			Outer membrane protein A
GFPBCAKN_00062	CDS	507	sulA		COG5404	Cell division inhibitor SulA
GFPBCAKN_00063	CDS	720				hypothetical protein
GFPBCAKN_00064	CDS	2139	yccS		COG1289	Inner membrane protein YccS
GFPBCAKN_00065	CDS	447	yccF		COG3304	Inner membrane protein YccF
GFPBCAKN_00066	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
GFPBCAKN_00067	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
GFPBCAKN_00068	CDS	639				hypothetical protein
GFPBCAKN_00069	CDS	150				hypothetical protein
GFPBCAKN_00070	CDS	318	hspQ		COG3785	Heat shock protein HspQ
GFPBCAKN_00071	CDS	1191	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
GFPBCAKN_00072	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
GFPBCAKN_00073	CDS	327	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
GFPBCAKN_00074	CDS	657	yccA		COG0670	Modulator of FtsH protease YccA
GFPBCAKN_00075	CDS	177				hypothetical protein
GFPBCAKN_00076	tRNA	88				tRNA-Ser(tga)
GFPBCAKN_00077	tRNA	88				tRNA-Ser(tga)
GFPBCAKN_00078	CDS	1794				hypothetical protein
GFPBCAKN_00079	CDS	1374	sad_1	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
GFPBCAKN_00080	CDS	231	yccJ			putative protein YccJ
GFPBCAKN_00081	CDS	912				hypothetical protein
GFPBCAKN_00082	CDS	648	rutR		COG1309	HTH-type transcriptional regulator RutR
GFPBCAKN_00083	CDS	981				hypothetical protein
GFPBCAKN_00084	CDS	1395	cycA		COG1113	D-serine/D-alanine/glycine transporter
GFPBCAKN_00085	CDS	723	sdiA		COG2771	Regulatory protein SdiA
GFPBCAKN_00086	CDS	624				hypothetical protein
GFPBCAKN_00087	CDS	333	ydgC		COG3136	Inner membrane protein YdgC
GFPBCAKN_00088	CDS	225				hypothetical protein
GFPBCAKN_00089	CDS	660	uvrY_1		COG2197	Response regulator UvrY
GFPBCAKN_00090	CDS	1824	uvrC		COG0322	UvrABC system protein C
GFPBCAKN_00091	CDS	579	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
GFPBCAKN_00092	tRNA	76				tRNA-Gly(gcc)
GFPBCAKN_00093	tRNA	74				tRNA-Cys(gca)
GFPBCAKN_00094	tRNA	86				tRNA-Leu(taa)
GFPBCAKN_00095	CDS	912				hypothetical protein
GFPBCAKN_00096	CDS	432	slyA_1			Transcriptional regulator SlyA
GFPBCAKN_00097	CDS	1686				hypothetical protein
GFPBCAKN_00098	CDS	1089	emrA_1			Colistin resistance protein EmrA
GFPBCAKN_00099	CDS	1380	oprM_1		COG1538	Outer membrane protein OprM
GFPBCAKN_00100	CDS	156				hypothetical protein
GFPBCAKN_00101	CDS	1476	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
GFPBCAKN_00102	CDS	1125	mdoC	2.1.-.-		Glucans biosynthesis protein C
GFPBCAKN_00103	CDS	1578	mdoG		COG3131	Glucans biosynthesis protein G
GFPBCAKN_00104	CDS	2559	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
GFPBCAKN_00105	CDS	240				hypothetical protein
GFPBCAKN_00106	CDS	399				hypothetical protein
GFPBCAKN_00107	CDS	921	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
GFPBCAKN_00108	CDS	1053				hypothetical protein
GFPBCAKN_00109	CDS	576	yceI		COG2353	Protein YceI
GFPBCAKN_00110	CDS	555	yceJ		COG3038	Cytochrome b561 
GFPBCAKN_00111	CDS	1125	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
GFPBCAKN_00112	CDS	255	bssS			Biofilm regulator BssS
GFPBCAKN_00113	CDS	246	dinI			DNA damage-inducible protein I
GFPBCAKN_00114	CDS	1053	pyrC	3.5.2.3	COG0418	Dihydroorotase
GFPBCAKN_00115	CDS	582	yceB			putative lipoprotein YceB
GFPBCAKN_00116	CDS	648	grxB		COG2999	Glutaredoxin 2
GFPBCAKN_00117	CDS	594	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
GFPBCAKN_00118	CDS	114				hypothetical protein
GFPBCAKN_00119	CDS	1539	murJ		COG0728	putative lipid II flippase MurJ
GFPBCAKN_00120	CDS	432	flgN_1		COG3418	Flagella synthesis protein FlgN
GFPBCAKN_00121	CDS	300	flgM		COG2747	Negative regulator of flagellin synthesis
GFPBCAKN_00122	CDS	669	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
GFPBCAKN_00123	CDS	414	flgB_1		COG1815	Flagellar basal body rod protein FlgB
GFPBCAKN_00124	CDS	366	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
GFPBCAKN_00125	CDS	672	flgD_1		COG1843	Basal-body rod modification protein FlgD
GFPBCAKN_00126	CDS	1209	flgE_1		COG1749	Flagellar hook protein FlgE
GFPBCAKN_00127	CDS	756	flgF_1		COG4787	Flagellar basal-body rod protein FlgF
GFPBCAKN_00128	CDS	783	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
GFPBCAKN_00129	CDS	702	flgH_1			Flagellar L-ring protein
GFPBCAKN_00130	CDS	1107	flgI_1			Flagellar P-ring protein
GFPBCAKN_00131	CDS	942	flgJ_1	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
GFPBCAKN_00132	CDS	1656	flgK_1		COG1256	Flagellar hook-associated protein 1
GFPBCAKN_00133	CDS	966	flgL_1		COG1344	Flagellar hook-associated protein 3
GFPBCAKN_00134	CDS	3540	rne	3.1.26.12		Ribonuclease E
GFPBCAKN_00135	CDS	963	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
GFPBCAKN_00136	CDS	585	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
GFPBCAKN_00137	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
GFPBCAKN_00138	CDS	171	rpmF		COG0333	50S ribosomal protein L32
GFPBCAKN_00139	CDS	1035	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
GFPBCAKN_00140	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
GFPBCAKN_00141	CDS	930	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
GFPBCAKN_00142	CDS	735	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GFPBCAKN_00143	CDS	237	acpP_1			Acyl carrier protein
GFPBCAKN_00144	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
GFPBCAKN_00145	CDS	819	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
GFPBCAKN_00146	CDS	1026	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
GFPBCAKN_00147	CDS	633	tmk	2.7.4.9	COG0125	Thymidylate kinase
GFPBCAKN_00148	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
GFPBCAKN_00149	CDS	792	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
GFPBCAKN_00150	CDS	1434	ptsG		COG1263	PTS system glucose-specific EIICB component
GFPBCAKN_00151	CDS	351		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
GFPBCAKN_00152	CDS	369				hypothetical protein
GFPBCAKN_00153	CDS	597	lpoB		COG3417	Penicillin-binding protein activator LpoB
GFPBCAKN_00154	CDS	843	thiK	2.7.1.89	COG0510	Thiamine kinase
GFPBCAKN_00155	CDS	1020	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
GFPBCAKN_00156	CDS	1089	ybhH	5.-.-.-	COG2828	Putative isomerase YbhH
GFPBCAKN_00157	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
GFPBCAKN_00158	CDS	540				hypothetical protein
GFPBCAKN_00159	CDS	3447	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
GFPBCAKN_00160	CDS	1221	gpgS	2.4.1.266	COG0463	Glucosyl-3-phosphoglycerate synthase
GFPBCAKN_00161	CDS	801	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
GFPBCAKN_00162	CDS	390				hypothetical protein
GFPBCAKN_00163	CDS	159				hypothetical protein
GFPBCAKN_00164	CDS	636	rcsA		COG2771	Transcriptional regulatory protein RcsA
GFPBCAKN_00165	CDS	786	fliR_1		COG1684	Flagellar biosynthetic protein FliR
GFPBCAKN_00166	CDS	270	fliQ_1		COG1987	Flagellar biosynthetic protein FliQ
GFPBCAKN_00167	CDS	738	fliP_1		COG1338	Flagellar biosynthetic protein FliP
GFPBCAKN_00168	CDS	390	fliO_1		COG3190	Flagellar protein FliO
GFPBCAKN_00169	CDS	402	fliN_1		COG1886	Flagellar motor switch protein FliN
GFPBCAKN_00170	CDS	1011	fliM_1		COG1868	Flagellar motor switch protein FliM
GFPBCAKN_00171	CDS	525				hypothetical protein
GFPBCAKN_00172	CDS	1266				hypothetical protein
GFPBCAKN_00173	CDS	447	fliJ_1		COG2882	Flagellar FliJ protein
GFPBCAKN_00174	CDS	1362	fliI_1	7.1.2.2	COG1157	Flagellum-specific ATP synthase
GFPBCAKN_00175	CDS	690	fliH_1		COG1317	Flagellar assembly protein FliH
GFPBCAKN_00176	CDS	993	fliG_1		COG1536	Flagellar motor switch protein FliG
GFPBCAKN_00177	CDS	1722	fliF_1		COG1766	Flagellar M-ring protein
GFPBCAKN_00178	CDS	312	fliE_1		COG1677	Flagellar hook-basal body complex protein FliE
GFPBCAKN_00179	CDS	261				hypothetical protein
GFPBCAKN_00180	CDS	219				hypothetical protein
GFPBCAKN_00181	CDS	963	cheV		COG0784	Chemotaxis protein CheV
GFPBCAKN_00182	CDS	369				hypothetical protein
GFPBCAKN_00183	CDS	183				hypothetical protein
GFPBCAKN_00184	CDS	1749				hypothetical protein
GFPBCAKN_00185	CDS	1395				hypothetical protein
GFPBCAKN_00186	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
GFPBCAKN_00187	CDS	705	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
GFPBCAKN_00188	CDS	1245	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
GFPBCAKN_00189	CDS	330	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
GFPBCAKN_00190	CDS	930	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
GFPBCAKN_00191	CDS	1173	ydcO		COG3135	Inner membrane protein YdcO
GFPBCAKN_00192	CDS	561	sutR		COG1396	HTH-type transcriptional regulator SutR
GFPBCAKN_00193	CDS	1128	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
GFPBCAKN_00194	CDS	1446	phoQ	2.7.13.3	COG0642	Virulence sensor histidine kinase PhoQ
GFPBCAKN_00195	CDS	669	phoP			Transcriptional regulatory protein PhoP
GFPBCAKN_00196	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
GFPBCAKN_00197	CDS	645	hflD		COG2915	High frequency lysogenization protein HflD
GFPBCAKN_00198	CDS	1110	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
GFPBCAKN_00199	CDS	477	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
GFPBCAKN_00200	CDS	627	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
GFPBCAKN_00201	CDS	1251	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
GFPBCAKN_00202	CDS	1104				hypothetical protein
GFPBCAKN_00203	CDS	828				hypothetical protein
GFPBCAKN_00204	CDS	381				hypothetical protein
GFPBCAKN_00205	CDS	288				hypothetical protein
GFPBCAKN_00206	CDS	246				hypothetical protein
GFPBCAKN_00207	CDS	675				hypothetical protein
GFPBCAKN_00208	CDS	945	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
GFPBCAKN_00209	CDS	636	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
GFPBCAKN_00210	CDS	276				hypothetical protein
GFPBCAKN_00211	CDS	249				hypothetical protein
GFPBCAKN_00212	CDS	1677	treA	3.2.1.28	COG1626	Periplasmic trehalase
GFPBCAKN_00213	CDS	930	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
GFPBCAKN_00214	CDS	396				hypothetical protein
GFPBCAKN_00215	CDS	561				hypothetical protein
GFPBCAKN_00216	CDS	99				hypothetical protein
GFPBCAKN_00217	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
GFPBCAKN_00218	CDS	1512	ttdT		COG0471	L-tartrate/succinate antiporter
GFPBCAKN_00219	CDS	2778	namA_1	1.6.99.1		NADPH dehydrogenase
GFPBCAKN_00220	CDS	969	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
GFPBCAKN_00221	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
GFPBCAKN_00222	CDS	1641	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
GFPBCAKN_00223	CDS	231	ygdR_1			putative lipoprotein YgdR
GFPBCAKN_00224	CDS	234	ygdR_2			putative lipoprotein YgdR
GFPBCAKN_00225	CDS	294				hypothetical protein
GFPBCAKN_00226	CDS	246				hypothetical protein
GFPBCAKN_00227	CDS	600				hypothetical protein
GFPBCAKN_00228	CDS	156				hypothetical protein
GFPBCAKN_00229	CDS	102				hypothetical protein
GFPBCAKN_00230	CDS	261				hypothetical protein
GFPBCAKN_00231	CDS	420				hypothetical protein
GFPBCAKN_00232	CDS	552				hypothetical protein
GFPBCAKN_00233	CDS	780	prgK_1		COG4669	Lipoprotein PrgK
GFPBCAKN_00234	CDS	324				hypothetical protein
GFPBCAKN_00235	CDS	273	mxiH			Protein MxiH
GFPBCAKN_00236	CDS	1260	prgH_1			Protein PrgH
GFPBCAKN_00237	CDS	867				hypothetical protein
GFPBCAKN_00238	CDS	1767	sctC_1		COG1450	Type 3 secretion system secretin
GFPBCAKN_00239	CDS	1113	mxiC_1			Protein MxiC
GFPBCAKN_00240	CDS	2070	invA_1		COG4789	Invasion protein InvA
GFPBCAKN_00241	CDS	408	spaK			Surface presentation of antigens protein SpaK
GFPBCAKN_00242	CDS	1296	spaL_1	7.1.2.2	COG1157	putative ATP synthase SpaL
GFPBCAKN_00243	CDS	462				hypothetical protein
GFPBCAKN_00244	CDS	864				hypothetical protein
GFPBCAKN_00245	CDS	924				hypothetical protein
GFPBCAKN_00246	CDS	672	spaP_1		COG4790	Surface presentation of antigens protein SpaP
GFPBCAKN_00247	CDS	255	spaQ_1		COG4794	Surface presentation of antigens protein SpaQ
GFPBCAKN_00248	CDS	771	spaR_1		COG4791	Surface presentation of antigens protein SpaR
GFPBCAKN_00249	CDS	1092	spaS_1		COG1377	Surface presentation of antigens protein SpaS
GFPBCAKN_00250	CDS	558	sicA_1		COG0457	Chaperone protein SicA
GFPBCAKN_00251	CDS	1902				hypothetical protein
GFPBCAKN_00252	CDS	1050				hypothetical protein
GFPBCAKN_00253	CDS	1152				hypothetical protein
GFPBCAKN_00254	CDS	90				hypothetical protein
GFPBCAKN_00255	CDS	1500				hypothetical protein
GFPBCAKN_00256	CDS	240	acpP_2			Acyl carrier protein
GFPBCAKN_00257	CDS	4152				hypothetical protein
GFPBCAKN_00258	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
GFPBCAKN_00259	CDS	1482	bicA		COG0659	Bicarbonate transporter BicA
GFPBCAKN_00260	CDS	681	pdeH_1	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
GFPBCAKN_00261	CDS	588	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
GFPBCAKN_00262	CDS	288				hypothetical protein
GFPBCAKN_00263	CDS	315				hypothetical protein
GFPBCAKN_00264	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
GFPBCAKN_00265	CDS	864	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
GFPBCAKN_00266	CDS	627	lolB		COG3017	Outer-membrane lipoprotein LolB
GFPBCAKN_00267	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
GFPBCAKN_00268	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
GFPBCAKN_00269	CDS	846	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
GFPBCAKN_00270	CDS	396	ychQ		COG3094	Protein YchQ
GFPBCAKN_00271	CDS	807				hypothetical protein
GFPBCAKN_00272	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
GFPBCAKN_00273	CDS	420	hslJ		COG3187	Heat shock protein HslJ
GFPBCAKN_00274	CDS	1092	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
GFPBCAKN_00275	CDS	1029	cra_1		COG1609	Catabolite repressor/activator
GFPBCAKN_00276	CDS	1410	scrB	3.2.1.26	COG1621	Sucrose-6-phosphate hydrolase
GFPBCAKN_00277	CDS	1374	sacX		COG1263	Negative regulator of SacY activity
GFPBCAKN_00278	CDS	1545	scrY			Sucrose porin
GFPBCAKN_00279	CDS	234				hypothetical protein
GFPBCAKN_00280	CDS	927	scrK	2.7.1.4	COG0524	Fructokinase
GFPBCAKN_00281	CDS	678	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
GFPBCAKN_00282	CDS	1173				hypothetical protein
GFPBCAKN_00283	CDS	699				hypothetical protein
GFPBCAKN_00284	CDS	2112				hypothetical protein
GFPBCAKN_00285	CDS	1224				hypothetical protein
GFPBCAKN_00286	CDS	1479				hypothetical protein
GFPBCAKN_00287	CDS	1074	phoE		COG3203	Outer membrane porin PhoE
GFPBCAKN_00288	CDS	1206	astC	2.6.1.81	COG4992	Succinylornithine transaminase
GFPBCAKN_00289	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
GFPBCAKN_00290	CDS	1470	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
GFPBCAKN_00291	CDS	1326	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
GFPBCAKN_00292	CDS	1002	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
GFPBCAKN_00293	CDS	489	spy		COG3678	Periplasmic chaperone Spy
GFPBCAKN_00294	CDS	870	cho	3.1.25.-	COG0322	Excinuclease cho
GFPBCAKN_00295	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
GFPBCAKN_00296	CDS	1191	bcr_1			Bicyclomycin resistance protein
GFPBCAKN_00297	CDS	336	osmE			Osmotically-inducible putative lipoprotein OsmE
GFPBCAKN_00298	CDS	414				hypothetical protein
GFPBCAKN_00299	CDS	1395	tcyP		COG1823	L-cystine uptake protein TcyP
GFPBCAKN_00300	CDS	600	ydjM		COG1988	Inner membrane protein YdjM
GFPBCAKN_00301	CDS	540				hypothetical protein
GFPBCAKN_00302	CDS	894		2.7.1.-		putative ketoamine kinase
GFPBCAKN_00303	CDS	291				hypothetical protein
GFPBCAKN_00304	CDS	756				hypothetical protein
GFPBCAKN_00305	CDS	222				hypothetical protein
GFPBCAKN_00306	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
GFPBCAKN_00307	CDS	351	infC		COG0290	Translation initiation factor IF-3
GFPBCAKN_00308	CDS	198	rpmI		COG0291	50S ribosomal protein L35
GFPBCAKN_00309	CDS	357	rplT		COG0292	50S ribosomal protein L20
GFPBCAKN_00310	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GFPBCAKN_00311	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
GFPBCAKN_00312	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
GFPBCAKN_00313	CDS	627				hypothetical protein
GFPBCAKN_00314	CDS	150				hypothetical protein
GFPBCAKN_00315	CDS	546	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
GFPBCAKN_00316	CDS	459	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
GFPBCAKN_00317	CDS	459				hypothetical protein
GFPBCAKN_00318	CDS	1440	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
GFPBCAKN_00319	CDS	780	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
GFPBCAKN_00320	CDS	1002	hmuU_1		COG0609	Hemin transport system permease protein HmuU
GFPBCAKN_00321	CDS	867	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
GFPBCAKN_00322	CDS	1032	hemS		COG3720	Hemin transport protein HemS
GFPBCAKN_00323	CDS	834	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
GFPBCAKN_00324	CDS	2376	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
GFPBCAKN_00325	CDS	1125	ydiK		COG0628	Putative transport protein YdiK
GFPBCAKN_00326	CDS	3120			COG0247	putative protein
GFPBCAKN_00327	CDS	405				hypothetical protein
GFPBCAKN_00328	CDS	375	sufA		COG0316	Protein SufA
GFPBCAKN_00329	CDS	1494	sufB		COG0719	FeS cluster assembly protein SufB
GFPBCAKN_00330	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
GFPBCAKN_00331	CDS	1281	sufD		COG0719	FeS cluster assembly protein SufD
GFPBCAKN_00332	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
GFPBCAKN_00333	CDS	423	sufE		COG2166	Cysteine desulfuration protein SufE
GFPBCAKN_00334	CDS	237	lpp1			Major outer membrane lipoprotein Lpp 1
GFPBCAKN_00335	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
GFPBCAKN_00336	tRNA	77				tRNA-Val(gac)
GFPBCAKN_00337	tRNA	77				tRNA-Val(gac)
